Pattern,Reason
\bAyami\b,'Ayamy'
\b(Aria|Ai)[\s\-]senpai,'IRyS-senpai' or 'ID senpai' or 'our senpai'
\bMoomin\b,'Mumei'
\b(L|M|N)(a|o)riss?ai?\b,'Nerissa'
\bKuroe\b,'Chloe' or 'Kuroi' or 'Kuro'
\bKoei\b,'Chloe'
\bHajime\b,'Hajime' or 'Haachama'
\bBibi\b,'Bae' or 'Biboo' or 'Vivi'
\bPanda Boy\b,'PandaBoY'
\benglish promise\b,'English -Promise-'
\benglish advent\b,'English -Advent-'
\benglish justice\b,'English -Justice-'
\bhololive council\b,'hololive -Council-'
\bYago\b,'YAGOO'
\bPoki\b,'Pokey'
\bMarni-chan\b,'Mane-chan'
\bmaruchan\b,'Mane-chan'
\bRound (1|one)\b,'Round1'
\bpanlight,'penlight'
\bpondering,'pon-de-ring'
\bBaudo\b,"'""BAU""DOL'"
\bRiding on Dreams\b,'Ridin'on Dreams'
